,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median
0,487.7497051059544,1726.25582519624,3006.4170693443175,3898.2751440993866,473.17879146803364,1729.8208917960094,3063.2051863388942,3954.184732264721
1,458.9373087914662,1606.402130786482,2663.5861799820036,3886.046736199261,396.75914751603983,1585.4328846439544,2709.455569560361,4011.2474529189885
2,493.31770924538296,1514.0270860344872,2461.9598917949825,3249.7877333744314,466.75030625571685,1468.233402128104,2487.02677112936,3225.42075315035
3,522.4532194864579,1627.1020210966433,2535.310549868332,3620.136942445145,523.6512436989742,1667.0059314174623,2560.3564969656663,3740.346126203607
4,590.4811996820624,1472.0726855982969,2674.6088092965583,3894.3557226853272,550.2792792302075,1494.594743783704,2767.092866998849,4068.572236627346
5,498.9409360724544,1574.7159479722725,2560.5491226232034,3741.2739408549387,471.4082669319502,1588.1886608158654,2616.996269644279,3855.3321938952326
6,507.6033426520867,1777.566926179263,2754.7732385693425,3883.0486730767307,442.66772224994725,1829.4966017184531,2806.234141841359,4019.526846111796
7,602.4948784559435,1650.2178077273688,2707.692204907021,3849.411093888763,568.8203036944817,1580.4801515670968,2782.012483271446,3898.1164606601837
8,538.1889339996623,1732.6184974491653,2689.493046148255,3900.3605407572,514.400558227012,1732.4607590867922,2749.7576785380397,3968.7486665738575
9,455.1946726911495,1632.0260128058237,2665.9178504425004,3863.489050538789,392.0905425035518,1637.5482269202666,2692.2242307982706,3915.0502684776025
10,559.5401889950022,1510.6697736102792,2473.4282318598584,3538.6552201031013,540.2099577657476,1519.5589922963586,2506.425884134056,3550.622407965032
11,487.96910265013184,1699.5270843691096,2827.8731175067096,3965.12608297404,434.36935897947023,1651.9637626076042,2885.1568476489474,4029.0841753132086
12,502.2393476443065,1690.8429675844031,2737.4217066383076,3800.8207759095644,468.6009792226778,1736.6209309394046,2803.070867711223,3884.8447328162
13,471.49517465474395,1680.2983649795963,2585.371069074454,3642.839609385939,440.55634932852485,1653.7730942449905,2594.0503402956792,3704.7823352025207
14,516.5014596034996,1609.0702362573545,2624.0845317794106,3727.6600835120626,475.15055117548536,1558.7230648901752,2689.465849457427,3748.6820163703765
15,490.861848178475,1667.9477739672425,2723.838605519812,3717.0570069950454,417.4418171129788,1649.7826176882768,2737.311852078642,3686.9831776442807
16,565.170548862723,1696.6981166883313,2651.1714426720214,3890.841007209548,502.8502023116165,1740.3477771709001,2719.7830060391816,4065.2203369409644
17,453.3386163502033,1562.6514543088579,2678.5881609036082,3613.5708774126356,395.2938269800867,1580.6174913158818,2835.393235992012,3694.96036998718
18,487.7948263938854,1657.0474893329954,2588.0821554099753,3603.5489709831472,422.80673623765983,1637.9596718511687,2555.487698575897,3482.223471655423
19,477.9366246905939,1747.9853959223908,2783.967571533558,3935.8362534193825,467.83936842962703,1743.2274315172467,2850.1219344571577,4068.1673138092756
20,445.2569571239485,1673.339972828097,2668.425382664244,3567.0167711841545,413.89086490759297,1717.8670244335785,2747.3236466677536,3544.5415149273003
