,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median
0,483.25574023057703,1719.854217121547,2890.937925351338,3855.065677465017,467.9344960915001,1810.2853593159232,2920.6826255105548,3939.1852958908557
1,463.2746335365004,1660.0801848568924,2685.498556865128,3778.137708762346,399.35589159826856,1651.6105912080714,2766.5671317389697,3890.6065761950586
2,426.29475271685635,1470.5346866211057,2530.3975012171086,3351.1291737897673,412.3253089488103,1448.4985141740353,2588.1011599387775,3323.3073314084404
3,501.2526880773341,1601.3177420579636,2648.1091371405882,3837.2931404540977,497.171148401554,1633.6052784365613,2699.1243386276838,3923.709229036553
4,555.1943745865578,1616.1568941154926,2683.106775885614,3649.361341755009,521.5442824692853,1669.5345378747816,2712.8193100574817,3747.5312994637197
5,459.490567972155,1708.7731509863638,2573.642047054218,3979.8356132613308,415.9500828097523,1797.1423134710465,2611.908798465767,4216.855990334528
6,485.17607553553574,1657.9035940228966,2724.1655807156144,3828.223878580728,418.54402955372007,1608.2337715965805,2803.2978640951956,3915.1663981077563
7,492.79374095761557,1642.8510745607025,2744.7218583633066,3872.491134594076,448.73678675883457,1589.130776371696,2754.5172951525483,3918.228928177664
8,490.5296419288955,1683.3802754184246,2617.8382245466196,3776.5779999273186,459.405205004348,1657.323816412585,2650.8436797978056,3841.2839952772683
9,414.03573111580056,1655.934912737291,2686.6916367680114,3927.052849725209,358.36930814122405,1697.861788206801,2712.933619484989,3997.2797195114254
10,513.2870086272496,1553.7166523392086,2424.4640002064834,3602.938036020771,480.12422395465273,1561.9290025560867,2469.5077109870654,3637.9880935921456
11,472.03631460631095,1637.5807178728996,2746.895992641887,3875.078459433044,437.3088668439034,1585.0295140930284,2800.606910475313,3937.7194236648784
12,466.4684539999763,1688.3351546090287,2785.0354506317967,3779.8319923260947,415.7437636451839,1661.685061965721,2827.3391648073034,3800.5411411058412
13,466.92288665920586,1612.5625667461436,2609.8422948471075,3744.3698478361393,420.0801121269076,1592.2015942305134,2626.540646170668,3831.9420545799485
14,538.8379627809004,1589.1853094039238,2648.273404031142,3601.8721700744823,522.3270824107906,1572.054110843262,2761.4822833382927,3575.0593005204955
15,480.14714570787163,1624.8501213333082,2722.975079612125,3582.0095984228938,440.81284885677735,1645.2254149923742,2787.0682202713615,3576.617713148556
16,508.3165687694572,1655.934114358696,2657.608679972495,3812.593171850011,448.31844133170796,1707.5695540899012,2737.9608724249624,3987.1124864218955
17,431.41955591022065,1574.6173035929,2544.848296321007,3595.0912687948285,391.7091421258716,1619.6134653486963,2657.3155911080407,3649.419541318185
18,498.05327013716715,1714.2508044868712,2626.2728015059156,3474.47787468221,442.9530505049613,1711.5609110322548,2580.807771724779,3293.40856131617
19,463.76160656244275,1589.7183565755522,2897.085367815106,4042.224683611988,443.36509717491236,1602.9536964795086,2968.1634312413203,4121.4549511318655
20,419.281843988743,1623.4416842122234,2698.0447116638366,3693.1491660082042,385.2181091122478,1674.6447613401451,2762.838795264155,3826.7963449052068
